gene_id	log2foldchange	group
ENSG00000164815	-0.617963673137434	TIS genes N = 413
ENSG00000104442	0.123270500068132	TIS genes N = 413
ENSG00000147118	0.789016340651682	TIS genes N = 413
ENSG00000065559	-0.029444258212539	TIS genes N = 413
ENSG00000119953	-0.257584919448866	TIS genes N = 413
ENSG00000124225	0.642033955828593	TIS genes N = 413
ENSG00000234127	-0.14888348435913	TIS genes N = 413
ENSG00000169155	-0.631368614496275	TIS genes N = 413
ENSG00000085511	-0.653535973941307	TIS genes N = 413
ENSG00000130544	-0.010968452766222	TIS genes N = 413
ENSG00000168813	-0.067034258598271	TIS genes N = 413
ENSG00000036257	0.094072601674597	TIS genes N = 413
ENSG00000197498	-0.434199592544287	TIS genes N = 413
ENSG00000196072	-0.25331639929596	TIS genes N = 413
ENSG00000106246	-0.2765585783606	TIS genes N = 413
ENSG00000102007	1.143536390783513	TIS genes N = 413
ENSG00000124459	0.345477771021644	TIS genes N = 413
ENSG00000124120	-0.409122557127449	TIS genes N = 413
ENSG00000221914	-0.214549796401879	TIS genes N = 413
ENSG00000166860	0.319340514723333	TIS genes N = 413
ENSG00000256294	-0.990717219535952	TIS genes N = 413
ENSG00000125812	-0.381404373833242	TIS genes N = 413
ENSG00000122687	-0.653529507378138	TIS genes N = 413
ENSG00000056972	-0.224852235586643	TIS genes N = 413
ENSG00000118503	0.899151443931477	TIS genes N = 413
ENSG00000156875	-0.26129240682416	TIS genes N = 413
ENSG00000198862	-0.035885942132095	TIS genes N = 413
ENSG00000076650	0.644001082889502	TIS genes N = 413
ENSG00000175087	0.608302298502217	TIS genes N = 413
ENSG00000143067	0.775158406403548	TIS genes N = 413
ENSG00000065491	-0.159301051038285	TIS genes N = 413
ENSG00000125772	0.022635863366083	TIS genes N = 413
ENSG00000169914	-0.199485214138944	TIS genes N = 413
ENSG00000115947	0.234431384557217	TIS genes N = 413
ENSG00000163659	-0.638953746324382	TIS genes N = 413
ENSG00000121989	0.329458454594765	TIS genes N = 413
ENSG00000107290	-0.01693987022775	TIS genes N = 413
ENSG00000265972	0.687953068534455	TIS genes N = 413
ENSG00000106100	-0.500267734398067	TIS genes N = 413
ENSG00000089195	-0.303606877795541	TIS genes N = 413
ENSG00000116497	-0.316421827589651	TIS genes N = 413
ENSG00000187531	-0.068892244992499	TIS genes N = 413
ENSG00000096717	0.07961702938352	TIS genes N = 413
ENSG00000135956	0.856470465734275	TIS genes N = 413
ENSG00000113369	-0.153710576354856	TIS genes N = 413
ENSG00000131013	0.267966970598701	TIS genes N = 413
ENSG00000111364	0.226681387702974	TIS genes N = 413
ENSG00000124209	-0.628138080121353	TIS genes N = 413
ENSG00000119321	0.014028624372969	TIS genes N = 413
ENSG00000090432	0.648351590075341	TIS genes N = 413
ENSG00000137075	0.105235906477439	TIS genes N = 413
ENSG00000143756	-0.070887846494139	TIS genes N = 413
ENSG00000131023	0.446383870186831	TIS genes N = 413
ENSG00000169981	-0.131554556993883	TIS genes N = 413
ENSG00000119725	-0.343472716083819	TIS genes N = 413
ENSG00000164031	0.046826075815454	TIS genes N = 413
ENSG00000109118	-0.326372945899798	TIS genes N = 413
ENSG00000143748	-0.35719923014384	TIS genes N = 413
ENSG00000025156	-0.06670153851532	TIS genes N = 413
ENSG00000180884	0.405384173365214	TIS genes N = 413
ENSG00000135775	-0.305304539459684	TIS genes N = 413
ENSG00000162377	-0.155195450063716	TIS genes N = 413
ENSG00000095787	0.033035057720763	TIS genes N = 413
ENSG00000111880	0.250641549027005	TIS genes N = 413
ENSG00000119541	0.353966308595318	TIS genes N = 413
ENSG00000131381	0.721038779018706	TIS genes N = 413
ENSG00000141646	0.120177710740861	TIS genes N = 413
ENSG00000037637	-0.245183298685737	TIS genes N = 413
ENSG00000150401	-0.200482931971022	TIS genes N = 413
ENSG00000105327	0.169801033857833	TIS genes N = 413
ENSG00000146457	-0.012395837018638	TIS genes N = 413
ENSG00000159459	-0.032203890593017	TIS genes N = 413
ENSG00000147050	-0.008429882724352	TIS genes N = 413
ENSG00000114648	-0.067891265155894	TIS genes N = 413
ENSG00000111725	0.229562362351223	TIS genes N = 413
ENSG00000106617	0.065358519201308	TIS genes N = 413
ENSG00000164535	0.028536789150318	TIS genes N = 413
ENSG00000111424	-0.184597887326849	TIS genes N = 413
ENSG00000181830	0.988301771900407	TIS genes N = 413
ENSG00000137842	-0.350770982084953	TIS genes N = 413
ENSG00000162607	-0.369796610826436	TIS genes N = 413
ENSG00000137574	0.149287609450518	TIS genes N = 413
ENSG00000143878	1.519719876979454	TIS genes N = 413
ENSG00000131051	0.014895191730734	TIS genes N = 413
ENSG00000112343	0.358260357609123	TIS genes N = 413
ENSG00000139174	-0.356531065236374	TIS genes N = 413
ENSG00000116903	1.336455052260339	TIS genes N = 413
ENSG00000163874	0.24758784355579	TIS genes N = 413
ENSG00000135249	0.778683080075729	TIS genes N = 413
ENSG00000105643	0.487871678462341	TIS genes N = 413
