Well,Target,Sample,Cq,File
D11,SRSF2_PTC+,si UPF1,25.28,R2Q1
D12,SRSF2_PTC+,si UPF1,25.45,R2Q1
E01,SRSF2_NOR,siNC,16.89,R2Q1
E02,SRSF2_NOR,siNC,18.73,R2Q1
E03,SRSF2_NOR,siNC,18.35,R2Q1
E04,SRSF2_NOR,si eIF4A3,21.03,R2Q1
E05,SRSF2_NOR,si eIF4A3,21.29,R2Q1
E06,SRSF2_NOR,si eIF4A3,21.49,R2Q1
E07,SRSF2_NOR,si PYM1,18.72,R2Q1
E08,SRSF2_NOR,si PYM1,19.23,R2Q1
E09,SRSF2_NOR,si PYM1,19.6,R2Q1
E10,SRSF2_NOR,si UPF1,19.07,R2Q1
E11,SRSF2_NOR,si UPF1,19.7,R2Q1
E12,SRSF2_NOR,si UPF1,19.78,R2Q1
F01,TBP,siNC,19.88,R2Q1
F02,TBP,siNC,20.86,R2Q1
F03,TBP,siNC,21.05,R2Q1
F04,TBP,si eIF4A3,21.05,R2Q1
F05,TBP,si eIF4A3,21.43,R2Q1
F06,TBP,si eIF4A3,21.64,R2Q1
F07,TBP,si PYM1,20.69,R2Q1
F08,TBP,si PYM1,21.48,R2Q1
F09,TBP,si PYM1,21.66,R2Q1
F10,TBP,si UPF1,20.81,R2Q1
F11,TBP,si UPF1,20.73,R2Q1
F12,TBP,si UPF1,20.03,R2Q1
G01,SRSF3_PTC+,siNC,20.46,R2Q1
G02,SRSF3_PTC+,siNC,20.87,R2Q1
G03,SRSF3_PTC+,siNC,20.98,R2Q1
G04,SRSF3_PTC+,si eIF4A3,19.86,R2Q1
G05,SRSF3_PTC+,si eIF4A3,20.03,R2Q1
G06,SRSF3_PTC+,si eIF4A3,20.01,R2Q1
G07,SRSF3_PTC+,si PYM1,20.19,R2Q1
G08,SRSF3_PTC+,si PYM1,20.75,R2Q1
G09,SRSF3_PTC+,si PYM1,20.8,R2Q1
G10,SRSF3_PTC+,si UPF1,20.85,R2Q1
G11,SRSF3_PTC+,si UPF1,20.97,R2Q1
G12,SRSF3_PTC+,si UPF1,21.1,R2Q1
H01,SRSF3_NOR,siNC,16.35,R2Q1
H02,SRSF3_NOR,siNC,16.11,R2Q1
H03,SRSF3_NOR,siNC,16.05,R2Q1
H04,SRSF3_NOR,si eIF4A3,17.88,R2Q1
