Sample	Target	N	Cq	sd	se	ci	Delcq	Rel.levels	Sampletype	RepNo	CellLine	Rel.Norm.Levels
HEK_DMSO_1	MAPK3	3	20.7883668762641	0.05949509851286891	0.03434951114186817	0.14779401788011864	5.578388914697033	0.02092847623081147	DMSO	1	HEK	1
HEK_SMG1i_1	MAPK3	3	20.620068520789967	0.04309668437805195	0.024881882326848632	0.10705809891492016	4.730740635268635	0.03766215505936301	SMG1i	1	HEK	1.7995650827132732
HEK_DMSO_1	MYH9	3	21.40096554467617	0.06849097175933569	0.03954328098231152	0.17014100586179262	6.190987583109102	0.013687591477861012	DMSO	1	HEK	1
HEK_SMG1i_1	MYH9	3	21.379277412763965	0.03841421250833738	0.022178455932396077	0.09542619395915213	5.489949527242633	0.022251562764610936	SMG1i	1	HEK	1.6256740859487016
HEK_DMSO_1	NOC2L	3	19.7896797484974	0.07030984510178899	0.04059340799619877	0.17465933772467826	4.5797017869303325	0.04181887938812541	DMSO	1	HEK	1
HEK_SMG1i_1	NOC2L	3	20.191040756596966	0.08005829786029538	0.04622167982050478	0.19887583685330049	4.301712871075633	0.05070553776759179	SMG1i	1	HEK	1.2125035034293572
HEK_DMSO_1	SLC7A5	3	22.38816672333333	0.11519815922201992	0.06650968823698258	0.2861680916476388	7.178188761766265	0.006904780358036281	DMSO	1	HEK	1
HEK_SMG1i_1	SLC7A5	3	21.686038813333333	0.06659774547869089	0.03845022627954437	0.1654379710611661	5.796710927812001	0.01798937746476674	SMG1i	1	HEK	2.605351152673438
HEK_DMSO_1	SRSF3_NOR	3	19.721087699911166	0.40300173202709394	0.23267315846972814	1.001111800429205	4.5111097383441	0.04385515547717342	DMSO	1	HEK	1
HEK_SMG1i_1	SRSF3_NOR	3	19.9551867409526	0.10925966794480067	0.0630810986994998	0.27141606151499803	4.065858855431266	0.05971102500417413	SMG1i	1	HEK	1.3615508679533397
HEK_DMSO_1	SRSF3_PTC	3	20.6554133740378	0.20397336097963095	0.11776407486910265	0.5066979182019645	5.445435412470733	0.022948832778917887	DMSO	1	HEK	1
HEK_SMG1i_1	SRSF3_PTC	3	18.367845911755467	0.04153321004023474	0.023979209997038797	0.10317421335099457	2.478518026234134	0.17942862510609278	SMG1i	1	HEK	7.818638395889407
HEK_DMSO_1	NA	3	30.83665129	1.9371056716587849	1.1183884809809503	4.81203725061304	15.626673328432933	1.976526291738046e-5	DMSO	1	HEK	1
HEK_SMG1i_1	NA	3	29.723928306666668	2.0318799937744707	1.173106461366706	5.047469718286189	13.834600421145336	6.844950237985725e-5	SMG1i	1	HEK	3.4631212681550823
HEK_DMSO_1	USF2	3	18.91307926	0.11522100273104191	0.06652287694306566	0.28622483806986904	3.7031012984329337	0.07678129491121084	DMSO	1	HEK	1
HEK_SMG1i_1	USF2	3	19.301026976666666	0.018966608058002137	0.01095037626790166	0.047115666340870804	3.4116990911453335	0.09396718945955139	SMG1i	1	HEK	1.2238291835037967
HEK_DMSO_2	ACTB	3	14.935215658566733	0.04309848175209366	0.02488292004123545	0.1070625638395593	0	1	DMSO	2	HEK	1
HEK_SMG1i_2	ACTB	3	15.3552637813772	0.07123254226746069	0.041126127453179825	0.17695144455044845	0	1	SMG1i	2	HEK	1
HEK_DMSO_2	BRD2	3	18.5619771916233	0.050858634800699076	0.029363246492800484	0.12633985267655432	3.626761533056566	0.08095356735544168	DMSO	2	HEK	1
HEK_SMG1i_2	BRD2	3	16.8407261546571	0.02733975395806157	0.015784614307264983	0.06791571383719609	1.4854623732799013	0.357134057720657	SMG1i	2	HEK	4.411591352763907
HEK_DMSO_2	CAPN1	3	21.05690022101537	0.07884617212664259	0.04552185870188867	0.19586474960695058	6.121684562448635	0.014361153450474978	DMSO	2	HEK	1
HEK_SMG1i_2	CAPN1	3	21.330127258677834	0.05079133385004518	0.029324390270823737	0.12617266784699832	5.974863477300634	0.015899624704556588	SMG1i	2	HEK	1.1071272763282622
HEK_DMSO_2	DAZAP1	3	18.977540812145367	0.07291507555216166	0.04209753849802244	0.1811310889342493	4.042325153578634	0.060693037976178685	DMSO	2	HEK	1
HEK_SMG1i_2	DAZAP1	3	19.2461973657758	0.05588134748829813	0.032263111015047946	0.13881696267910598	3.8909335843985993	0.06740813009578497	SMG1i	2	HEK	1.1106402372252626
HEK_DMSO_2	EIF4G1	3	19.709059037954333	0.017488940916043395	0.010097244745719115	0.04344493766811676	4.7738433793876	0.036553582584676364	DMSO	2	HEK	1
HEK_SMG1i_2	EIF4G1	3	19.9419697521921	0.011546739118341654	0.006666512938236936	0.028683690091615262	4.586705970814901	0.04161634368915384	SMG1i	2	HEK	1.1385024598546418
HEK_DMSO_2	EPHA2	3	20.817004692174432	0.0707637771804343	0.04085548580399845	0.17578696751981432	5.881789033607699	0.01695918870939345	DMSO	2	HEK	1
HEK_SMG1i_2	EPHA2	3	19.381286165284298	0.023314095282969693	0.013460399187535136	0.057915423307765494	4.026022383907097	0.061382772321862435	SMG1i	2	HEK	3.6194403738112424
HEK_DMSO_2	FOXK1	3	22.099433625116667	0.12727678156352273	0.07348328409728905	0.3161730529121559	7.164217966549934	0.006971969789646036	DMSO	2	HEK	1
HEK_SMG1i_2	FOXK1	3	21.9259138054005	0.06945553450782554	0.04010017154480242	0.17253711256066584	6.570650024023301	0.010520521100851445	SMG1i	2	HEK	1.5089739941896059
HEK_DMSO_2	MAPK3	3	21.305412296725635	0.02189874382386375	0.012643245641622392	0.05439949537281957	6.370196638158902	0.012088703719286184	DMSO	2	HEK	1
HEK_SMG1i_2	MAPK3	3	20.692901207674133	0.037168811938354106	0.02145942357806732	0.09233244743702132	5.337637426296933	0.024729254761794196	SMG1i	2	HEK	2.0456498344269467
HEK_DMSO_2	MYH9	3	21.558069214077133	0.07871855646925591	0.04544817976774366	0.1955477347398265	6.6228535555104	0.010146643992882877	DMSO	2	HEK	1
HEK_SMG1i_2	MYH9	3	21.016171223247035	0.030127104730616708	0.017393892026125606	0.07483987700717674	5.660907441869835	0.019765010860684686	SMG1i	2	HEK	1.9479357780314737
HEK_DMSO_2	NOC2L	3	20.096715491288034	0.08090438888816875	0.0467101707032064	0.20097764348321434	5.161499832721301	0.027940471313830508	DMSO	2	HEK	1
HEK_SMG1i_2	NOC2L	3	20.382501633184965	0.16908606025446743	0.09762188240413006	0.42003305880941116	5.027237851807765	0.030665539614281204	SMG1i	2	HEK	1.0975312216405522
HEK_DMSO_2	SLC7A5	3	19.754779216666666	0.057393940016178834	0.03313640671819409	0.1425744508201262	4.819563558099933	0.035413332982588926	DMSO	2	HEK	1
HEK_SMG1i_2	SLC7A5	3	19.273093713333335	0.23403067623718735	0.1351176739241703	0.581364428547229	3.9178299319561347	0.06616307366770334	SMG1i	2	HEK	1.8683097041510501
HEK_DMSO_2	SRSF3_NOR	3	20.961539041702732	0.038196333799714544	0.022052663601321996	0.09488495324247469	6.026323383135999	0.01534249173864643	DMSO	2	HEK	1
HEK_SMG1i_2	SRSF3_NOR	3	21.12953752542827	0.19752388120213896	0.11404046598343459	0.4906765222655255	5.774273744051069	0.018271340027977506	SMG1i	2	HEK	1.190897824109858
HEK_DMSO_2	SRSF3_PTC	3	21.814541719143232	0.11207747500749747	0.06470796036567222	0.2784158823038796	6.879326060576499	0.008494083106126421	DMSO	2	HEK	1
HEK_SMG1i_2	SRSF3_PTC	3	18.926598386290234	0.0762369936381582	0.04401544879919842	0.18938319092701877	3.5713346049130337	0.08412424109376254	SMG1i	2	HEK	9.903863671063837
HEK_DMSO_2	NA	3	32.78434350333333	0.38825254730232756	0.22415771269855675	0.9644727944368409	17.8491278447666	4.235231189904708e-6	DMSO	2	HEK	1
HEK_SMG1i_2	NA	3	30.582298843333334	0.4650449560479266	0.2684938305595481	1.1552357129779292	15.227035061956133	2.6073882334596746e-5	SMG1i	2	HEK	6.15642480078718
HEK_DMSO_2	USF2	3	20.951212006666665	0.04771989916575879	0.027551096629052637	0.11854280111858452	6.015996348099932	0.015452709683912023	DMSO	2	HEK	1
HEK_SMG1i_2	USF2	3	21.15819322	0.20794132882628505	0.12005498217350417	0.5165548967688507	5.802929438622801	0.017912003946300315	SMG1i	2	HEK	1.1591497098368897
HEK_DMSO_3	ACTB	3	15.563427657008633	0.0350507444943147	0.02023655676908939	0.08707087622325241	0	1	DMSO	3	HEK	1
HEK_SMG1i_3	ACTB	3	16.012349850744332	3.425958144638382e-4	1.9779778570393607e-4	8.510551825974396e-4	0	1	SMG1i	3	HEK	1
HEK_DMSO_3	BRD2	3	17.112981347502	0.08115497774664449	0.046854848248103285	0.2016001407166984	1.5495536904933669	0.34161572946256885	DMSO	3	HEK	1
HEK_SMG1i_3	BRD2	3	15.857158702273667	0.12996440897941672	0.07503498650933686	0.3228494895311123	-0.1551911484706654	1.1135691497120526	SMG1i	3	HEK	3.2597127522901936
HEK_DMSO_3	CAPN1	3	22.952564918145868	0.0814746252738255	0.04703939683396704	0.20239418919343646	7.389137261137234	0.005965516377233169	DMSO	3	HEK	1
HEK_SMG1i_3	CAPN1	3	23.065681920263934	0.08098556721302645	0.046757039030915354	0.20117930162137007	7.053332069519602	0.0075289684578746735	SMG1i	3	HEK	1.2620816006152078
HEK_DMSO_3	DAZAP1	3	18.2554011375782	0.03369422139428826	0.019453367792127176	0.08370108603361626	2.691973480569567	0.15475163095265632	DMSO	3	HEK	1
HEK_SMG1i_3	DAZAP1	3	18.3046104299711	0.110220176962534	0.0636356488394472	0.27380209818842566	2.2922605792267667	0.2041553699539964	SMG1i	3	HEK	1.3192453526803498
HEK_DMSO_3	EIF4G1	3	19.026836849145234	0.014228856928871894	0.00821503437814486	0.03534644009211066	3.4634091921366004	0.09065879575440536	DMSO	3	HEK	1
HEK_SMG1i_3	EIF4G1	3	19.170924585199465	0.021766219580966105	0.012566732734311284	0.05407028690331637	3.158574734455133	0.11198871499066937	SMG1i	3	HEK	1.2352768869117428
HEK_DMSO_3	EPHA2	3	22.1723719461541	0.027335050056650045	0.0157818985085188	0.06790402869830738	6.608944289145468	0.01024494259529836	DMSO	3	HEK	1
HEK_SMG1i_3	EPHA2	3	22.138990810643968	0.041073969000968	0.02371406705939522	0.10203339536656864	6.126640959899635	0.01431190017583995	SMG1i	3	HEK	1.3969722175318007
HEK_DMSO_3	FOXK1	3	22.897549795617834	0.04311696568915438	0.02489359174727314	0.10710848048467345	7.334122138609201	0.006197395955977112	DMSO	3	HEK	1
HEK_SMG1i_3	FOXK1	3	22.668486313219734	0.09552395227558635	0.05515077956036675	0.23729465222322282	6.656136462475402	0.009915240884116147	SMG1i	3	HEK	1.5999043718601422
HEK_DMSO_3	MAPK3	3	20.794424996383633	0.17056516006271533	0.0984758410765803	0.42370734642252245	5.2309973393749996	0.026626427075626707	DMSO	3	HEK	1
HEK_SMG1i_3	MAPK3	3	20.698261894511134	0.019883073873146542	0.011479498052978371	0.04939229363380102	4.685912043766802	0.03885079568255169	SMG1i	3	HEK	1.45910660758968
HEK_DMSO_3	MYH9	3	21.669035583710368	0.028573879778611016	0.016497137181973074	0.07098145232906779	6.105607926701735	0.014522081585207411	DMSO	3	HEK	1
HEK_SMG1i_3	MYH9	3	21.4925990671946	0.01240329861505464	0.007161047794241109	0.03081150183975787	5.480249216450268	0.022401680667237397	SMG1i	3	HEK	1.5425943268392295
HEK_DMSO_3	NOC2L	3	20.022639783433434	0.03820755138459394	0.02205914007697177	0.09491281926810835	4.4592121264248	0.045461461453735724	DMSO	3	HEK	1
HEK_SMG1i_3	NOC2L	3	20.192765690619968	0.0944506252487647	0.054531093912502764	0.2346283600788543	4.180415839875636	0.05515303776246348	SMG1i	3	HEK	1.2131822426912184
HEK_DMSO_3	SLC7A5	3	22.485052460000002	0.07703208047906271	0.044474492400823774	0.19135829613262612	6.921624802991369	0.008248658341878976	DMSO	3	HEK	1
HEK_SMG1i_3	SLC7A5	3	22.793781523333333	0.07336722622520707	0.04235858781081948	0.1822542934725547	6.781431672589001	0.00909045566383031	SMG1i	3	HEK	1.1020526353573736
HEK_DMSO_3	SRSF3_NOR	3	19.963939756088134	0.16087538283745337	0.0928814455871878	0.3996366053987897	4.400512099079501	0.04734933259950102	DMSO	3	HEK	1
HEK_SMG1i_3	SRSF3_NOR	3	19.988116850819132	0.18466079907479002	0.10661396205460143	0.4587228548636364	3.9757670000748	0.06355868118490113	SMG1i	3	HEK	1.3423353127805422
HEK_DMSO_3	SRSF3_PTC	3	20.825869405716702	0.026470596124641078	0.015282805798171392	0.06575660608573304	5.262441748708069	0.02605236674492296	DMSO	3	HEK	1
HEK_SMG1i_3	SRSF3_PTC	3	18.4413393650927	0.13528410820033412	0.07810631628654137	0.3360643549809621	2.428989514348366	0.18569546473088128	SMG1i	3	HEK	7.127777163165772
HEK_DMSO_3	NA	3	29.32359891	2.479960196942152	1.431805687284109	6.160562648863776	13.760171252991368	7.207351573205564e-5	DMSO	3	HEK	1
HEK_SMG1i_3	NA	3	33.28832589	2.6006171272496488	1.5014669984767361	6.4602910796246595	17.27597603925567	6.301051189362537e-6	SMG1i	3	HEK	0.0874253340545737
HEK_DMSO_3	USF2	3	19.001316376666665	0.04773405246648917	0.027559268041039246	0.11857795986667462	3.437888719658032	0.09227676772507186	DMSO	3	HEK	1
HEK_SMG1i_3	USF2	3	19.889894713333334	0.010176000047436233	0.005875116366660954	0.025278585472609492	3.8775448625890014	0.06803661322021395	SMG1i	3	HEK	0.7373103208699432
HEK_DMSO_4	ACTB	3	14.746513902088466	0.016058707569015025	0.009271499137808305	0.03989204107416069	0	1	DMSO	4	HEK	1
HEK_SMG1i_4	ACTB	3	15.1357868483363	0.13639266677280076	0.07874634287676745	0.33881816713651053	0	1	SMG1i	4	HEK	1
HEK_DMSO_4	BRD2	3	16.081903801941934	0.021115537009720475	0.012191060976645622	0.05245390178970643	1.3353898998534675	0.3962849546586473	DMSO	4	HEK	1
HEK_SMG1i_4	BRD2	3	14.6645935320071	0.06217918371916792	0.0358991684582528	0.15446165516263718	-0.4711933163292006	1.38625562684153	SMG1i	4	HEK	3.4981283304980013
HEK_DMSO_4	CAPN1	3	21.775575780562335	0.09236554436793468	0.05332727190467341	0.22944873203073482	7.029061878473868	0.007656698272714449	DMSO	4	HEK	1
HEK_SMG1i_4	CAPN1	3	21.824893414053367	0.019777208945434607	0.011418376908466145	0.04912931057452008	6.689106565717067	0.009691216138243417	SMG1i	4	HEK	1.265717387973771
