Well,Target,Sample,Cq,File,Exp,,source_file,Well,Fluor,Target,Sample,Cq,Exp
H04,RSRC2_PTC+,si eIF4A3,19.23,R1Q1,NMDtargets,,1,F07,SYBR,SRSF3_PTC,HEK_SMG1i_3,18.51618064,ncEJCtargets
H05,RSRC2_PTC+,si eIF4A3,19.36,R1Q1,NMDtargets,,1,F08,SYBR,SRSF3_PTC,HEK_SMG1i_3,18.52266585,ncEJCtargets
H06,RSRC2_PTC+,si eIF4A3,18.92,R1Q1,NMDtargets,,1,F09,SYBR,SRSF3_PTC,HEK_SMG1i_3,18.28517161,ncEJCtargets
H07,RSRC2_PTC+,si PYM1,22.19,R1Q1,NMDtargets,,1,F10,SYBR,BRD2,HEK_SMG1i_3,15.95384543,ncEJCtargets
H08,RSRC2_PTC+,si PYM1,21.79,R1Q1,NMDtargets,,1,F11,SYBR,BRD2,HEK_SMG1i_3,15.70941964,ncEJCtargets
H09,RSRC2_PTC+,si PYM1,22.03,R1Q1,NMDtargets,,1,F12,SYBR,BRD2,HEK_SMG1i_3,15.90821104,ncEJCtargets
A01,SRSF3_PTC+,siNC,25.29,R1Q2,NMDtargets,,1,G01,SYBR,ACTB,HCT_DMSO_1,14.96613589,ncEJCtargets
A02,SRSF3_PTC+,siNC,25.94,R1Q2,NMDtargets,,1,G02,SYBR,ACTB,HCT_DMSO_1,15.00209826,ncEJCtargets
A03,SRSF3_PTC+,siNC,26.02,R1Q2,NMDtargets,,1,G03,SYBR,ACTB,HCT_DMSO_1,14.91681118,ncEJCtargets
A04,SRSF3_PTC+,si eIF4A3,25.22,R1Q2,NMDtargets,,1,G04,SYBR,SRSF3_NOR,HCT_DMSO_1,21.05531883,ncEJCtargets
A05,SRSF3_PTC+,si eIF4A3,24.94,R1Q2,NMDtargets,,1,G05,SYBR,SRSF3_NOR,HCT_DMSO_1,21.04722507,ncEJCtargets
A06,SRSF3_PTC+,si eIF4A3,25.74,R1Q2,NMDtargets,,1,G06,SYBR,SRSF3_NOR,HCT_DMSO_1,20.75357688,ncEJCtargets
A07,SRSF3_PTC+,si PYM1,27.08,R1Q2,NMDtargets,,1,G07,SYBR,SRSF3_PTC,HCT_DMSO_1,21.90649675,ncEJCtargets
A08,SRSF3_PTC+,si PYM1,26.57,R1Q2,NMDtargets,,1,G08,SYBR,SRSF3_PTC,HCT_DMSO_1,21.94618563,ncEJCtargets
A09,SRSF3_PTC+,si PYM1,25.78,R1Q2,NMDtargets,,1,G09,SYBR,SRSF3_PTC,HCT_DMSO_1,21.75014991,ncEJCtargets
A10,SRSF3_PTC+,si UPF1,25.42,R1Q2,NMDtargets,,1,G10,SYBR,BRD2,HCT_DMSO_1,18.71232982,ncEJCtargets
A11,SRSF3_PTC+,si UPF1,26.13,R1Q2,NMDtargets,,1,G11,SYBR,BRD2,HCT_DMSO_1,18.77605237,ncEJCtargets
A12,SRSF3_PTC+,si UPF1,23.85,R1Q2,NMDtargets,,1,G12,SYBR,BRD2,HCT_DMSO_1,18.77139916,ncEJCtargets
B01,SRSF3_PTC-,siNC,23.81,R1Q2,NMDtargets,,1,H01,SYBR,ACTB,HCT_SMG1i_1,15.45684935,ncEJCtargets
B02,SRSF3_PTC-,siNC,23.39,R1Q2,NMDtargets,,1,H02,SYBR,ACTB,HCT_SMG1i_1,15.56430952,ncEJCtargets
B03,SRSF3_PTC-,siNC,23.48,R1Q2,NMDtargets,,1,H03,SYBR,ACTB,HCT_SMG1i_1,15.52323657,ncEJCtargets
B04,SRSF3_PTC-,si eIF4A3,24.93,R1Q2,NMDtargets,,1,H04,SYBR,SRSF3_NOR,HCT_SMG1i_1,21.45447314,ncEJCtargets
B05,SRSF3_PTC-,si eIF4A3,24.78,R1Q2,NMDtargets,,1,H05,SYBR,SRSF3_NOR,HCT_SMG1i_1,21.52270222,ncEJCtargets
B06,SRSF3_PTC-,si eIF4A3,24.77,R1Q2,NMDtargets,,1,H06,SYBR,SRSF3_NOR,HCT_SMG1i_1,20.99689008,ncEJCtargets
B07,SRSF3_PTC-,si PYM1,25.03,R1Q2,NMDtargets,,1,H07,SYBR,SRSF3_PTC,HCT_SMG1i_1,19.27409776,ncEJCtargets
B08,SRSF3_PTC-,si PYM1,24.99,R1Q2,NMDtargets,,1,H08,SYBR,SRSF3_PTC,HCT_SMG1i_1,19.29860059,ncEJCtargets
B09,SRSF3_PTC-,si PYM1,25.12,R1Q2,NMDtargets,,1,H09,SYBR,SRSF3_PTC,HCT_SMG1i_1,19.00026992,ncEJCtargets
B10,SRSF3_PTC-,si UPF1,24.81,R1Q2,NMDtargets,,1,H10,SYBR,BRD2,HCT_SMG1i_1,17.18337801,ncEJCtargets
B11,SRSF3_PTC-,si UPF1,25.1,R1Q2,NMDtargets,,1,H11,SYBR,BRD2,HCT_SMG1i_1,17.1071994,ncEJCtargets
B12,SRSF3_PTC-,si UPF1,24.88,R1Q2,NMDtargets,,1,H12,SYBR,BRD2,HCT_SMG1i_1,17.08985536,ncEJCtargets
C01,ZFAS1,siNC,21.99,R1Q2,NMDtargets,,2,A01,SYBR,EPHA2,HEK_DMSO_1,22.07038536,ncEJCtargets
C02,ZFAS1,siNC,21.88,R1Q2,NMDtargets,,2,A02,SYBR,EPHA2,HEK_DMSO_1,22.10000907,ncEJCtargets
C03,ZFAS1,siNC,21.85,R1Q2,NMDtargets,,2,A03,SYBR,EPHA2,HEK_DMSO_1,22.07977726,ncEJCtargets
C04,ZFAS1,si eIF4A3,19.66,R1Q2,NMDtargets,,2,A04,SYBR,EIF4G1,HEK_DMSO_1,18.89910483,ncEJCtargets
C05,ZFAS1,si eIF4A3,20.52,R1Q2,NMDtargets,,2,A05,SYBR,EIF4G1,HEK_DMSO_1,18.93288096,ncEJCtargets
C06,ZFAS1,si eIF4A3,20.1,R1Q2,NMDtargets,,2,A06,SYBR,EIF4G1,HEK_DMSO_1,18.87194877,ncEJCtargets
C07,ZFAS1,si PYM1,24.05,R1Q2,NMDtargets,,2,A07,SYBR,DAZAP1,HEK_DMSO_1,18.2180931,ncEJCtargets
C08,ZFAS1,si PYM1,23.96,R1Q2,NMDtargets,,2,A08,SYBR,DAZAP1,HEK_DMSO_1,18.18789104,ncEJCtargets
C09,ZFAS1,si PYM1,23.8,R1Q2,NMDtargets,,2,A09,SYBR,DAZAP1,HEK_DMSO_1,18.15213954,ncEJCtargets
C10,ZFAS1,si UPF1,22.9,R1Q2,NMDtargets,,2,A10,SYBR,CAPN1,HEK_DMSO_1,22.85497057,ncEJCtargets
C11,ZFAS1,si UPF1,22.99,R1Q2,NMDtargets,,2,A11,SYBR,CAPN1,HEK_DMSO_1,22.85768758,ncEJCtargets
C12,ZFAS1,si UPF1,22.98,R1Q2,NMDtargets,,2,A12,SYBR,CAPN1,HEK_DMSO_1,22.94781583,ncEJCtargets
D01,GAS5,siNC,19.49,R1Q2,NMDtargets,,2,B01,SYBR,EPHA2,HEK_SMG1i_1,22.14499105,ncEJCtargets
D02,GAS5,siNC,19.93,R1Q2,NMDtargets,,2,B02,SYBR,EPHA2,HEK_SMG1i_1,22.19265283,ncEJCtargets
D03,GAS5,siNC,20.29,R1Q2,NMDtargets,,2,B03,SYBR,EPHA2,HEK_SMG1i_1,22.22756929,ncEJCtargets
D04,GAS5,si eIF4A3,19.86,R1Q2,NMDtargets,,2,B04,SYBR,EIF4G1,HEK_SMG1i_1,19.13827642,ncEJCtargets
D05,GAS5,si eIF4A3,20.03,R1Q2,NMDtargets,,2,B05,SYBR,EIF4G1,HEK_SMG1i_1,19.19176793,ncEJCtargets
D06,GAS5,si eIF4A3,20.13,R1Q2,NMDtargets,,2,B06,SYBR,EIF4G1,HEK_SMG1i_1,19.20025982,ncEJCtargets
D07,GAS5,si PYM1,20.84,R1Q2,NMDtargets,,2,B07,SYBR,DAZAP1,HEK_SMG1i_1,18.28873106,ncEJCtargets
D08,GAS5,si PYM1,21.45,R1Q2,NMDtargets,,2,B08,SYBR,DAZAP1,HEK_SMG1i_1,18.2290808,ncEJCtargets
D09,GAS5,si PYM1,20.33,R1Q2,NMDtargets,,2,B09,SYBR,DAZAP1,HEK_SMG1i_1,18.23599713,ncEJCtargets
D10,GAS5,si UPF1,20.54,R1Q2,NMDtargets,,2,B10,SYBR,CAPN1,HEK_SMG1i_1,23.04357242,ncEJCtargets
D11,GAS5,si UPF1,21,R1Q2,NMDtargets,,2,B11,SYBR,CAPN1,HEK_SMG1i_1,23.05677822,ncEJCtargets
D12,GAS5,si UPF1,21.75,R1Q2,NMDtargets,,2,B12,SYBR,CAPN1,HEK_SMG1i_1,23.11562396,ncEJCtargets
E01,GAPDH,siNC,15.63,R1Q2,NMDtargets,,2,C01,SYBR,EPHA2,HEK_DMSO_2,20.80037926,ncEJCtargets
E02,GAPDH,siNC,15.85,R1Q2,NMDtargets,,2,C02,SYBR,EPHA2,HEK_DMSO_2,20.75603387,ncEJCtargets
