source_file,Well,Fluor,Target,Sample,Cq,Exp
2,A04,SYBR,EIF4G1,HEK_DMSO_1,18.8991048317652,ncEJCtargets
2,A05,SYBR,EIF4G1,HEK_DMSO_1,18.9328809621521,ncEJCtargets
2,A06,SYBR,EIF4G1,HEK_DMSO_1,18.8719487749828,ncEJCtargets
2,A07,SYBR,DAZAP1,HEK_DMSO_1,18.21809310415,ncEJCtargets
2,A08,SYBR,DAZAP1,HEK_DMSO_1,18.1878910380073,ncEJCtargets
2,A09,SYBR,DAZAP1,HEK_DMSO_1,18.152139542488,ncEJCtargets
2,A10,SYBR,CAPN1,HEK_DMSO_1,22.8549705672611,ncEJCtargets
2,A11,SYBR,CAPN1,HEK_DMSO_1,22.8576875836438,ncEJCtargets
2,A12,SYBR,CAPN1,HEK_DMSO_1,22.9478158341898,ncEJCtargets
2,B01,SYBR,EPHA2,HEK_SMG1i_1,22.1449910545175,ncEJCtargets
2,B02,SYBR,EPHA2,HEK_SMG1i_1,22.1926528280758,ncEJCtargets
2,B03,SYBR,EPHA2,HEK_SMG1i_1,22.2275692881769,ncEJCtargets
2,B04,SYBR,EIF4G1,HEK_SMG1i_1,19.1382764225094,ncEJCtargets
2,B05,SYBR,EIF4G1,HEK_SMG1i_1,19.1917679348512,ncEJCtargets
2,B06,SYBR,EIF4G1,HEK_SMG1i_1,19.2002598188951,ncEJCtargets
2,B07,SYBR,DAZAP1,HEK_SMG1i_1,18.2887310591286,ncEJCtargets
2,B08,SYBR,DAZAP1,HEK_SMG1i_1,18.229080802951,ncEJCtargets
2,B09,SYBR,DAZAP1,HEK_SMG1i_1,18.2359971281329,ncEJCtargets
2,B10,SYBR,CAPN1,HEK_SMG1i_1,23.0435724229178,ncEJCtargets
2,B11,SYBR,CAPN1,HEK_SMG1i_1,23.0567782244917,ncEJCtargets
2,B12,SYBR,CAPN1,HEK_SMG1i_1,23.1156239590068,ncEJCtargets
2,C01,SYBR,EPHA2,HEK_DMSO_2,20.8003792565769,ncEJCtargets
2,C02,SYBR,EPHA2,HEK_DMSO_2,20.7560338742,ncEJCtargets
2,C03,SYBR,EPHA2,HEK_DMSO_2,20.8946009457464,ncEJCtargets
2,C04,SYBR,EIF4G1,HEK_DMSO_2,19.7142945630948,ncEJCtargets
2,C05,SYBR,EIF4G1,HEK_DMSO_2,19.7233322496527,ncEJCtargets
2,C06,SYBR,EIF4G1,HEK_DMSO_2,19.6895503011155,ncEJCtargets
2,C07,SYBR,DAZAP1,HEK_DMSO_2,19.0362936986141,ncEJCtargets
2,C08,SYBR,DAZAP1,HEK_DMSO_2,19.0003915839571,ncEJCtargets
2,C09,SYBR,DAZAP1,HEK_DMSO_2,18.8959371538649,ncEJCtargets
2,C10,SYBR,CAPN1,HEK_DMSO_2,21.1256386967766,ncEJCtargets
2,C11,SYBR,CAPN1,HEK_DMSO_2,20.9708300612712,ncEJCtargets
2,C12,SYBR,CAPN1,HEK_DMSO_2,21.0742319049983,ncEJCtargets
2,D01,SYBR,EPHA2,HEK_SMG1i_2,19.399099705896,ncEJCtargets
2,D02,SYBR,EPHA2,HEK_SMG1i_2,19.3898595370551,ncEJCtargets
2,D03,SYBR,EPHA2,HEK_SMG1i_2,19.3548992529018,ncEJCtargets
2,D04,SYBR,EIF4G1,HEK_SMG1i_2,19.9290282938794,ncEJCtargets
