annotation_KD_method	quartile	gene	log2foldchange
50_100_UPF1_log2fold	Q1	ENSG00000123595	0.153419991295069
50_100_UPF1_log2fold	Q1	ENSG00000004799	0.363578962557844
50_100_UPF1_log2fold	Q1	ENSG00000088448	0.814220998188691
50_100_UPF1_log2fold	Q1	ENSG00000152749	0.0245082306395581
50_100_UPF1_log2fold	Q1	ENSG00000124279	-0.773481207323154
50_100_UPF1_log2fold	Q1	ENSG00000117525	-0.236628664422283
50_100_UPF1_log2fold	Q1	ENSG00000071537	0.0520654991085115
50_100_UPF1_log2fold	Q1	ENSG00000095015	-0.770068901665305
50_100_UPF1_log2fold	Q1	ENSG00000138685	0.221788190790513
50_100_UPF1_log2fold	Q1	ENSG00000093000	-0.191509281398718
50_100_UPF1_log2fold	Q1	ENSG00000120159	0.301587609189375
50_100_UPF1_log2fold	Q1	ENSG00000111843	0.0436995356725995
50_100_UPF1_log2fold	Q1	ENSG00000181938	0.367363115441815
50_100_UPF1_log2fold	Q1	ENSG00000164190	0.131472442170281
50_100_UPF1_log2fold	Q1	ENSG00000127980	-0.179836083617739
50_100_UPF1_log2fold	Q1	ENSG00000071894	-0.0942776297941658
50_100_UPF1_log2fold	Q1	ENSG00000136147	0.40574935384292
50_100_UPF1_log2fold	Q1	ENSG00000104549	0.059083597795497
50_100_UPF1_log2fold	Q1	ENSG00000138463	-0.100754233680337
50_100_UPF1_log2fold	Q1	ENSG00000145375	0.168428635005488
50_100_UPF1_log2fold	Q1	ENSG00000163584	-0.491824442442293
50_100_UPF1_log2fold	Q1	ENSG00000136122	0.249667642443719
50_100_UPF1_log2fold	Q1	ENSG00000170855	-0.0551790772433018
50_100_UPF1_log2fold	Q1	ENSG00000111786	-0.188487839665442
50_100_UPF1_log2fold	Q1	ENSG00000178202	-0.56139094326297
50_100_UPF1_log2fold	Q1	ENSG00000164751	-0.138650760537325
50_100_UPF1_log2fold	Q1	ENSG00000170310	-0.0135134794902771
50_100_UPF1_log2fold	Q1	ENSG00000159377	0.156237087281131
50_100_UPF1_log2fold	Q1	ENSG00000070061	-0.116800339000606
50_100_UPF1_log2fold	Q1	ENSG00000115421	0.335804375540501
50_100_UPF1_log2fold	Q1	ENSG00000204899	-0.282305589838664
50_100_UPF1_log2fold	Q1	ENSG00000166033	-0.130336452901102
50_100_UPF1_log2fold	Q1	ENSG00000119446	0.346544697623552
50_100_UPF1_log2fold	Q1	ENSG00000145685	-0.249987733067746
50_100_UPF1_log2fold	Q1	ENSG00000184575	0.0310812261166119
50_100_UPF1_log2fold	Q1	ENSG00000179409	-0.468191072394856
50_100_UPF1_log2fold	Q1	ENSG00000179241	-0.00830075248606426
50_100_UPF1_log2fold	Q1	ENSG00000158623	-0.301954323575658
