annotation_KD_method	quartile	gene	log2foldchange
50_100_UPF1_log2fold	Q1	ENSG00000102978	-0.164205491514707
50_100_UPF1_log2fold	Q1	ENSG00000172586	-0.279599544448735
50_100_UPF1_log2fold	Q1	ENSG00000104549	-0.923484090869838
50_100_UPF1_log2fold	Q1	ENSG00000138463	0.935921118559715
50_100_UPF1_log2fold	Q1	ENSG00000005194	-0.648559461325526
50_100_UPF1_log2fold	Q1	ENSG00000163584	-1.60117153827671
50_100_UPF1_log2fold	Q1	ENSG00000170855	0.413272776839723
50_100_UPF1_log2fold	Q1	ENSG00000111786	-0.107809611031396
50_100_UPF1_log2fold	Q1	ENSG00000164751	0.00723249475924776
50_100_UPF1_log2fold	Q1	ENSG00000070061	0.185964837835905
50_100_UPF1_log2fold	Q1	ENSG00000143970	0.31622752467032
50_100_UPF1_log2fold	Q1	ENSG00000204899	0.0374944666188548
50_100_UPF1_log2fold	Q1	ENSG00000119446	0.58648095318211
50_100_UPF1_log2fold	Q1	ENSG00000179241	-0.746398457025529
50_100_UPF1_log2fold	Q1	ENSG00000151012	0.42206667868921
50_100_UPF1_log2fold	Q1	ENSG00000071189	0.685361570457731
50_100_UPF1_log2fold	Q1	ENSG00000085832	0.43873526550107
50_100_UPF1_log2fold	Q1	ENSG00000163322	0.43873526550107
50_100_UPF1_log2fold	Q1	ENSG00000158122	0.214396018001853
50_100_UPF1_log2fold	Q1	ENSG00000171135	-1.68263286197871
50_100_UPF1_log2fold	Q1	ENSG00000221909	0.646709066772979
50_100_UPF1_log2fold	Q1	ENSG00000169193	0.113093264344917
50_100_UPF1_log2fold	Q1	ENSG00000170473	0.574664178854649
50_100_UPF1_log2fold	Q1	ENSG00000136051	-0.384777073451885
50_100_UPF1_log2fold	Q1	ENSG00000104427	-0.308843654908697
50_100_UPF1_log2fold	Q1	ENSG00000170632	1.05095725330866
50_100_UPF1_log2fold	Q1	ENSG00000085415	-0.617475604052945
50_100_UPF1_log2fold	Q1	ENSG00000126653	0.617933430658248
50_100_UPF1_log2fold	Q1	ENSG00000080815	0.995210899909158
50_100_UPF1_log2fold	Q1	ENSG00000172239	0.518283961651093
50_100_UPF1_log2fold	Q1	ENSG00000156976	-6.79321654773029
50_100_UPF1_log2fold	Q1	ENSG00000163902	-0.122916165694023
50_100_UPF1_log2fold	Q1	ENSG00000106484	-0.122916165694023
50_100_UPF1_log2fold	Q1	ENSG00000172936	-0.352307546728043
50_100_UPF1_log2fold	Q1	ENSG00000163132	0.405226064579275
50_100_UPF1_log2fold	Q1	ENSG00000010278	-0.327640863380382
50_100_UPF1_log2fold	Q1	ENSG00000119326	-0.233486536713222
50_100_UPF1_log2fold	Q1	ENSG00000084733	0.409520405582395
50_100_UPF1_log2fold	Q1	ENSG00000073712	1.06351231392918
50_100_UPF1_log2fold	Q1	ENSG00000168792	-0.703482915857176
50_100_UPF1_log2fold	Q1	ENSG00000075785	-0.214839406422969
50_100_UPF1_log2fold	Q1	ENSG00000205581	0.627751784315096
50_100_UPF1_log2fold	Q1	ENSG00000166902	-1.14202417623442
50_100_UPF1_log2fold	Q1	ENSG00000175895	0.0721182233685125
50_100_UPF1_log2fold	Q1	ENSG00000156172	-0.343684048133274
50_100_UPF1_log2fold	Q1	ENSG00000066557	-0.289755720104702
50_100_UPF1_log2fold	Q1	ENSG00000171928	-0.416891806709886
50_100_UPF1_log2fold	Q1	ENSG00000009307	-0.416891806709886
50_100_UPF1_log2fold	Q1	ENSG00000014641	-0.0126576054365915
50_100_UPF1_log2fold	Q1	ENSG00000138678	0.608180960537147
50_100_UPF1_log2fold	Q1	ENSG00000166002	-2.01153756057023
50_100_UPF1_log2fold	Q1	ENSG00000088986	-0.456301504884925
50_100_UPF1_log2fold	Q1	ENSG00000137693	1.26317679553611
50_100_UPF1_log2fold	Q1	ENSG00000136943	0.498988030655347
50_100_UPF1_log2fold	Q1	ENSG00000171241	0.269311518591966
50_100_UPF1_log2fold	Q1	ENSG00000066084	0.386968239615506
50_100_UPF1_log2fold	Q1	ENSG00000161267	0.386968239615506
50_100_UPF1_log2fold	Q1	ENSG00000273749	-0.00797655842954406
50_100_UPF1_log2fold	Q1	ENSG00000136144	0.429446469638853
50_100_UPF1_log2fold	Q1	ENSG00000123179	-1.62318397429344
50_100_UPF1_log2fold	Q1	ENSG00000091436	0.525845728031884
50_100_UPF1_log2fold	Q1	ENSG00000128951	0.525845728031884
50_100_UPF1_log2fold	Q1	ENSG00000154328	-1.12891433673803
50_100_UPF1_log2fold	Q1	ENSG00000141127	0.378728517453489
50_100_UPF1_log2fold	Q1	ENSG00000125630	0.0470151169168711
50_100_UPF1_log2fold	Q1	ENSG00000158710	-0.093391844165216
50_100_UPF1_log2fold	Q1	ENSG00000178105	-0.68831899946574
50_100_UPF1_log2fold	Q1	ENSG00000123268	0.804468711739096
50_100_UPF1_log2fold	Q1	ENSG00000163624	0.386110405931258
50_100_UPF1_log2fold	Q1	ENSG00000169018	0.0663031077440119
50_100_UPF1_log2fold	Q1	ENSG00000151729	0.332978356811309
50_100_UPF1_log2fold	Q1	ENSG00000142686	0.128912750081361
50_100_UPF1_log2fold	Q1	ENSG00000144366	0.128912750081361
50_100_UPF1_log2fold	Q1	ENSG00000234545	0.306390861622483
50_100_UPF1_log2fold	Q1	ENSG00000090316	-0.0726515565121525
50_100_UPF1_log2fold	Q1	ENSG00000074695	0.349066043126828
50_100_UPF1_log2fold	Q1	ENSG00000172301	-0.862794734115552
50_100_UPF1_log2fold	Q1	ENSG00000133731	-0.564881988557995
50_100_UPF1_log2fold	Q1	ENSG00000122482	-0.517968832576214
