"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSG00000112115",0,NA,NA,NA,NA,NA
"ENSG00000123349",210.916634346479,0.488861908327019,0.26711676323367,1.83014312695669,0.0672285395067332,0.522086166511901
"ENSG00000255173",0,NA,NA,NA,NA,NA
"ENSG00000255171",0.302226963129682,1.91940363983487,4.98929990344595,0.384704001960114,0.700456729849069,NA
"ENSG00000255176",0,NA,NA,NA,NA,NA
"ENSG00000255177",0,NA,NA,NA,NA,NA
"ENSG00000255175",0,NA,NA,NA,NA,NA
"ENSG00000258203",0,NA,NA,NA,NA,NA
"ENSG00000255178",0,NA,NA,NA,NA,NA
"ENSG00000123342",0.302226963129682,1.91940363983487,4.98929990344595,0.384704001960114,0.700456729849069,NA
"ENSG00000276718",0,NA,NA,NA,NA,NA
"ENSG00000056558",24.0365324190046,0.424435259674954,0.595214355673371,0.713079675631793,0.475796455388553,0.892652678577505
"ENSG00000178852",19.3314378137243,0.731664971309517,0.664993984822105,1.10025802940946,0.271219713310183,NA
"ENSG00000280769",0,NA,NA,NA,NA,NA
"ENSG00000167139",0,NA,NA,NA,NA,NA
"ENSG00000167136",20.7928357819053,0.888771568603096,0.632837005986662,1.4044241411221,0.160192586303129,NA
"ENSG00000280767",0,NA,NA,NA,NA,NA
"ENSG00000227848",1.15441146822371,3.87141176302502,2.82181469192041,1.37195818496157,0.170076455401284,NA
"ENSG00000143001",0.216623808861953,-1.0260274128774,4.99559468503736,-0.205386440967785,0.837270213010204,NA
"ENSG00000167130",74.7786817545864,0.025800002364139,0.374618926581836,0.0688699916994262,0.945093104941137,0.994795318709852
"ENSG00000167131",15.1060737682736,-0.0479179217053026,0.760600875588073,-0.0630000874877431,0.949766434655925,NA
"ENSG00000128872",88.4328420076084,0.343030218951853,0.348669729095421,0.983825638783732,0.325201250850003,0.825437870468242
"ENSG00000225579",0.491602579844128,0.400184769807903,4.05138520781553,0.098777269817717,0.921315116275071,NA
"ENSG00000225578",0.212051276151221,-1.01050203540902,4.99670329800888,-0.202233747961719,0.839733991106442,NA
"ENSG00000241106",2.29131294194297,0.734938929059269,1.81061432029577,0.405905841360635,0.684811785876737,NA
"ENSG00000281416",0,NA,NA,NA,NA,NA
"ENSG00000281410",0,NA,NA,NA,NA,NA
"ENSG00000225570",0,NA,NA,NA,NA,NA
"ENSG00000241101",0,NA,NA,NA,NA,NA
"ENSG00000282692",0.726329515432124,-0.524598316743226,3.43975070023192,-0.152510563253277,0.878784259624351,NA
"ENSG00000282690",0,NA,NA,NA,NA,NA
"ENSG00000204677",0.514278239280903,0.47219999430925,3.98761774473324,0.118416564610016,0.905737601460891,NA
"ENSG00000204671",0,NA,NA,NA,NA,NA
"ENSG00000184047",79.3543044377074,0.0164684447271171,0.358479013703841,0.045939773592221,0.963358252884437,0.995344975752348
"ENSG00000287050",0.274978770982175,1.85060000120426,4.99403768757252,0.370561881382957,0.7109638780066,NA
"ENSG00000287056",0.433247617723906,-2.02871165113543,4.49159696080283,-0.451668230439984,0.651508008418847,NA
"ENSG00000162415",29.7993434545648,-0.516900475566229,0.55004822096769,-0.939736655555136,0.347352657977554,0.843627635727775
"ENSG00000162413",118.257977122636,0.325291607920092,0.3200838896209,1.01626985446022,0.309500899729499,0.8141190538224
"ENSG00000268257",0,NA,NA,NA,NA,NA
"ENSG00000279175",1.09148397339276,2.03460947957402,2.79568921430944,0.727766687784925,0.466756419718879,NA
"ENSG00000091010",0,NA,NA,NA,NA,NA
"ENSG00000223517",0,NA,NA,NA,NA,NA
"ENSG00000063176",53.235642993127,0.0989976979487413,0.416466439383385,0.237708704920656,0.812107031624878,0.978360564354299
"ENSG00000051523",22.2757748474779,-0.504821986229126,0.610042621461218,-0.827519206805485,0.407942840332367,0.86821660792176
"ENSG00000004059",59.0956323572868,0.328686428519346,0.408311300671511,0.804989790825741,0.420825571147945,0.873572963012616
"ENSG00000270419",0.762008818115572,1.3773087051645,3.38894562484285,0.406412158126134,0.684439787844679,NA
